dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,59.144263,199.676576,0.006480,0.647965,32.398231,1619.911550,0.000017
0.020000,59.144126,199.676576,0.006616,0.006808,-32.057827,-3222.802897,0.000005
0.020000,59.183187,199.676575,0.045677,1.953047,97.311927,6468.487684,6.283168
0.020000,59.260545,199.676573,0.123034,3.867883,95.741796,-78.506559,6.283135
0.020000,59.363701,199.676565,0.226190,5.157783,64.495000,-1562.339769,6.283092
0.020000,59.492665,199.676550,0.355154,6.448201,64.520941,1.297036,6.283039
0.020000,59.647450,199.676522,0.509939,7.739269,64.553393,1.622589,6.282979
0.020000,59.828072,199.676479,0.690562,9.031116,64.592323,1.946539,6.282912
0.020000,60.034550,199.676415,0.897039,10.323871,64.637746,2.271106,6.282839
0.020000,60.266903,199.676326,1.129392,11.617663,64.689644,2.594914,6.282763
0.020000,60.525155,199.676206,1.387645,12.912624,64.748041,2.919873,6.282685
0.020000,60.809333,199.676053,1.671823,14.208883,64.812918,3.243821,6.282608
0.020000,61.119464,199.675862,1.981954,15.506568,64.884286,3.568425,6.282534
0.020000,61.455581,199.675631,2.318070,16.805811,64.962133,3.892322,6.282465
0.020000,61.817715,199.675359,2.680205,18.106740,65.046473,4.216996,6.282404
0.020000,62.205905,199.675046,3.068395,19.409486,65.137293,4.541012,6.282355
0.020000,62.620188,199.674694,3.482678,20.714178,65.234604,4.865543,6.282321
0.020000,63.060607,199.674309,3.923097,22.020946,65.338400,5.189837,6.282304
0.020000,63.527205,199.673898,4.389696,23.329920,65.448687,5.514326,6.282310
0.020000,64.020030,199.673473,4.882520,24.641229,65.565465,5.838909,6.282341
0.020000,64.539130,199.673049,5.401620,25.955004,65.688737,6.163617,6.282401
0.020000,65.084557,199.672646,5.947048,27.271374,65.818505,6.488386,6.282496
0.020000,65.656366,199.672288,6.518857,28.590470,65.954773,6.813367,6.282629
0.020000,66.254615,199.672007,7.117106,29.912421,66.097553,7.139021,6.282806
0.020000,66.879362,199.671838,7.741853,31.237357,66.246831,7.463911,6.283031
0.020000,67.530670,199.671826,8.393161,32.565410,66.402636,7.790227,0.000125
0.020000,68.208604,199.672022,9.071095,33.896709,66.564960,8.116190,0.000462
0.020000,68.913232,199.672486,9.775723,35.231386,66.733814,8.442739,0.000864
0.020000,69.644623,199.673288,10.507114,36.569570,66.909205,8.769544,0.001337
0.020000,70.402849,199.674506,11.265342,37.911392,67.091136,9.096537,0.001886
0.020000,71.187987,199.676231,12.050482,39.256985,67.279637,9.425052,0.002518
0.020000,72.000113,199.678564,12.862611,40.606479,67.474674,9.751841,0.003239
0.020000,72.839308,199.681620,13.701811,41.960004,67.676282,10.080392,0.004056
0.020000,73.705653,199.685527,14.568165,43.317694,67.884479,10.409876,0.004976
0.020000,74.599233,199.690427,15.461759,44.679679,68.099241,10.738079,0.006006
0.020000,75.520135,199.696481,16.382681,46.046089,68.320530,11.064446,0.007154
0.020000,76.468448,199.703861,17.331022,47.417058,68.548439,11.395446,0.008427
0.020000,77.444261,199.712762,18.306876,48.792715,68.782843,11.720199,0.009832
0.020000,78.447669,199.723395,19.310340,50.173192,69.023830,12.049375,0.011379
0.020000,79.478764,199.735993,20.341512,51.558617,69.271270,12.372006,0.013074
0.020000,80.537643,199.750810,21.400495,52.949120,69.525160,12.694510,0.014928
0.020000,81.624402,199.768120,22.487391,54.344829,69.785451,13.014556,0.016947
0.020000,82.739138,199.788226,23.602309,55.745871,70.052072,13.331024,0.019142
0.020000,83.881949,199.811452,24.745356,57.152368,70.324866,13.639696,0.021521
0.020000,85.052934,199.838150,25.916645,58.564443,70.603771,13.945232,0.024094
0.020000,86.252189,199.868701,27.116289,59.982215,70.888580,14.240496,0.026869
0.020000,87.479811,199.903515,28.344405,61.405797,71.179123,14.527106,0.029858
0.020000,88.735896,199.943032,29.601111,62.835300,71.475137,14.800709,0.033069
0.020000,90.020535,199.987726,30.886528,64.270827,71.776365,15.061395,0.036513
0.020000,91.333819,200.038105,32.200777,65.712475,72.082365,15.300006,0.040199
0.020000,92.675832,200.094710,33.543984,67.160332,72.392882,15.525845,0.044139
0.020000,94.046656,200.158123,34.916273,68.614477,72.707219,15.716846,0.048343
0.020000,95.446364,200.228961,36.317773,70.074976,73.024979,15.888040,0.052820
0.020000,96.875023,200.307883,37.748611,71.541884,73.345361,16.019079,0.057583
0.020000,98.332692,200.395589,39.208915,73.015235,73.667551,16.109502,0.062642
0.020000,99.819417,200.492821,40.698816,74.495052,73.990849,16.164907,0.068007
0.020000,101.335233,200.600367,42.218443,75.981326,74.313738,16.144431,0.073689
0.020000,102.880161,200.719059,43.767924,77.474040,74.635702,16.098219,0.079700
0.020000,104.454205,200.849776,45.347386,78.973134,74.954688,15.949313,0.086048
0.020000,106.018552,200.991283,46.918121,78.536710,-21.821224,-4838.795602,0.095599
0.020000,107.712174,201.164242,48.620551,85.121541,329.241591,17553.140725,0.107876
0.020000,109.426445,201.360396,50.346008,86.272826,57.564248,-13583.867159,0.119913
0.020000,111.160706,201.579778,52.094089,87.404076,56.562504,-50.087162,0.131674
0.020000,112.914320,201.822324,53.864397,88.515384,55.565378,-49.856320,0.143128
0.020000,114.686671,202.087878,55.656533,89.606783,54.569938,-49.771989,0.154241
0.020000,116.477176,202.376193,57.470102,90.678461,53.583900,-49.301895,0.164980
0.020000,118.285282,202.686923,59.304713,91.730556,52.604776,-48.956232,0.175313
0.020000,120.110472,203.019630,61.159980,92.763322,51.638280,-48.324776,0.185207
0.020000,121.952271,203.373783,63.035519,93.776961,50.681975,-47.815254,0.194630
0.020000,123.810245,203.748754,64.930953,94.771721,49.737987,-47.199392,0.203552
0.020000,125.684006,204.143823,66.845910,95.747831,48.805497,-46.624514,0.211940
0.020000,127.573210,204.558174,68.780020,96.705501,47.883469,-46.101376,0.219765
0.020000,129.477563,204.990902,70.732918,97.644910,46.970488,-45.649070,0.226995
0.020000,131.396814,205.441004,72.704242,98.566194,46.064195,-45.314677,0.233601
0.020000,133.330762,205.907387,74.693631,99.469441,45.162358,-45.091820,0.239553
0.020000,135.279251,206.388860,76.700724,100.354683,44.262078,-45.014023,0.244820
0.020000,137.242168,206.884141,78.725162,101.221875,43.359621,-45.122837,0.249372
0.020000,139.219445,207.391849,80.766580,102.070917,42.452075,-45.377291,0.253179
