dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,59.143859,223.676576,0.006458,0.645774,32.288698,1614.434913,0.000017
0.020000,59.143995,223.676576,0.006593,0.006785,-31.949440,-3211.906893,0.000005
0.020000,59.183310,223.676575,0.045908,1.965735,97.947501,6494.847012,6.283168
0.020000,59.261199,223.676573,0.123798,3.894484,96.437422,-75.503932,6.283135
0.020000,59.365040,223.676565,0.227639,5.192043,64.877992,-1577.971515,6.283092
0.020000,59.494822,223.676550,0.357420,6.489087,64.852197,-1.289723,6.283040
0.020000,59.650532,223.676522,0.513130,7.785487,64.819981,-1.610801,6.282980
0.020000,59.832154,223.676479,0.694752,9.081113,64.781310,-1.933579,6.282913
0.020000,60.039671,223.676415,0.902269,10.375837,64.736199,-2.255513,6.282840
0.020000,60.273061,223.676325,1.135660,11.669530,64.684643,-2.577840,6.282764
0.020000,60.532303,223.676206,1.394901,12.962063,64.626639,-2.900202,6.282686
0.020000,60.817369,223.676052,1.679967,14.253307,64.562207,-3.221573,6.282609
0.020000,61.128231,223.675861,1.990830,15.543133,64.491320,-3.544374,6.282535
0.020000,61.464859,223.675631,2.327458,16.831413,64.413990,-3.866471,6.282466
0.020000,61.827220,223.675359,2.689818,18.118018,64.330231,-4.187947,6.282406
0.020000,62.215276,223.675046,3.077875,19.402818,64.240019,-4.510622,6.282356
0.020000,62.628990,223.674695,3.491589,20.685685,64.143364,-4.832745,6.282321
0.020000,63.068319,223.674311,3.930918,21.966491,64.040269,-5.154720,6.282305
0.020000,63.533221,223.673902,4.395820,23.245105,63.930726,-5.477159,6.282309
0.020000,64.023649,223.673479,4.886248,24.521400,63.814737,-5.799466,6.282339
0.020000,64.539554,223.673056,5.402153,25.795246,63.692295,-6.122077,6.282399
0.020000,65.080884,223.672654,5.943484,27.066514,63.563405,-6.444503,6.282492
0.020000,65.647585,223.672297,6.510185,28.335075,63.428059,-6.767317,6.282624
0.020000,66.239601,223.672014,7.102201,29.600800,63.286239,-7.091007,6.282798
0.020000,66.856872,223.671842,7.719472,30.863560,63.137973,-7.413306,6.283021
0.020000,67.499337,223.671822,8.361937,32.123224,62.983211,-7.738069,0.000111
0.020000,68.166930,223.672006,9.029530,33.379664,62.821991,-8.061023,0.000446
0.020000,68.859585,223.672449,9.722185,34.632749,62.654283,-8.385379,0.000844
0.020000,69.577231,223.673220,10.439832,35.882350,62.480059,-8.711235,0.001312
0.020000,70.319797,223.674393,11.182399,37.128338,62.299360,-9.034949,0.001857
0.020000,71.087207,223.676054,11.949810,38.370580,62.112139,-9.361026,0.002483
0.020000,71.879383,223.678300,12.741989,39.608949,61.918408,-9.686575,0.003198
0.020000,72.696244,223.681238,13.558856,40.843311,61.718143,-10.013211,0.004009
0.020000,73.537706,223.684989,14.400326,42.073539,61.511380,-10.338190,0.004921
0.020000,74.403684,223.689687,15.266316,43.299500,61.298070,-10.665467,0.005943
0.020000,75.294086,223.695480,16.156738,44.521065,61.078223,-10.992383,0.007082
0.020000,76.208821,223.702528,17.071500,45.738102,60.851873,-11.317481,0.008344
0.020000,77.147792,223.711010,18.010509,46.950483,60.619023,-11.642493,0.009739
0.020000,78.110901,223.721120,18.973671,48.158076,60.379667,-11.967787,0.011273
0.020000,79.098043,223.733071,19.960886,49.360753,60.133863,-12.290232,0.012956
0.020000,80.109114,223.747091,20.972054,50.558387,59.881662,-12.610027,0.014795
0.020000,81.144002,223.763430,22.007071,51.750849,59.623094,-12.928425,0.016800
0.020000,82.202593,223.782358,23.065831,52.938013,59.358232,-13.243109,0.018978
0.020000,83.284768,223.804164,24.148226,54.119757,59.087213,-13.550914,0.021339
