dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,59.144061,211.676576,0.006458,0.645774,32.288698,1614.434913,0.000017
0.020000,59.144061,211.676576,0.032289,1.937322,64.577397,1614.434913,0.000005
0.020000,59.183107,211.676575,0.083951,3.228870,64.577397,-0.000000,6.283168
0.020000,59.260600,211.676573,0.161443,4.520418,64.577397,0.000000,6.283135
0.020000,59.363924,211.676565,0.264767,5.811966,64.577397,0.000000,6.283092
0.020000,59.493078,211.676550,0.393922,7.103514,64.577397,-0.000000,6.283040
0.020000,59.648064,211.676523,0.548908,8.395062,64.577397,0.000000,6.282980
0.020000,59.828881,211.676479,0.729725,9.686609,64.577397,0.000000,6.282913
0.020000,60.035529,211.676415,0.936372,10.978157,64.577397,-0.000000,6.282840
0.020000,60.268007,211.676326,1.168851,12.269705,64.577397,0.000000,6.282764
0.020000,60.526317,211.676207,1.427160,13.561253,64.577397,0.000000,6.282686
0.020000,60.810457,211.676054,1.711301,14.852801,64.577397,-0.000000,6.282609
0.020000,61.120429,211.675864,2.021273,16.144349,64.577397,0.000000,6.282535
0.020000,61.456231,211.675634,2.357075,17.435897,64.577397,0.000000,6.282466
0.020000,61.817864,211.675362,2.718708,18.727445,64.577397,0.000000,6.282406
0.020000,62.205329,211.675050,3.106173,20.018993,64.577397,0.000000,6.282356
0.020000,62.618624,211.674700,3.519468,21.310541,64.577397,0.000000,6.282321
0.020000,63.057750,211.674316,3.958594,22.602089,64.577397,0.000000,6.282305
0.020000,63.522707,211.673907,4.423552,23.893637,64.577397,0.000000,6.282309
0.020000,64.013495,211.673483,4.914340,25.185185,64.577397,0.000000,6.282339
0.020000,64.530114,211.673060,5.430959,26.476733,64.577397,0.000000,6.282399
0.020000,65.072564,211.672657,5.973409,27.768281,64.577397,-0.000000,6.282492
0.020000,65.640845,211.672299,6.541690,29.059828,64.577397,0.000000,6.282624
0.020000,66.234957,211.672015,7.135802,30.351376,64.577397,-0.000000,6.282798
0.020000,66.854900,211.671842,7.755745,31.642924,64.577397,-0.000000,6.283021
0.020000,67.500674,211.671823,8.401519,32.934472,64.577397,0.000000,0.000111
0.020000,68.172279,211.672007,9.073124,34.226020,64.577397,-0.000000,0.000446
0.020000,68.869715,211.672454,9.770560,35.517568,64.577397,0.000000,0.000844
0.020000,69.592981,211.673230,10.493827,36.809116,64.577397,0.000000,0.001312
0.020000,70.342078,211.674413,11.242925,38.100664,64.577397,-0.000000,0.001857
0.020000,71.117005,211.676091,12.017853,39.392212,64.577397,0.000000,0.002483
0.020000,71.917761,211.678361,12.818613,40.683760,64.577397,0.000000,0.003198
0.020000,72.744347,211.681334,13.645204,41.975308,64.577397,-0.000000,0.004009
0.020000,73.596760,211.685135,14.497626,43.266856,64.577397,0.000000,0.004921
0.020000,74.474999,211.689899,15.375878,44.558404,64.577397,-0.000000,0.005943
0.020000,75.379064,211.695780,16.279962,45.849952,64.577397,0.000000,0.007082
0.020000,76.308951,211.702945,17.209876,47.141499,64.577397,0.000000,0.008344
0.020000,77.264657,211.711579,18.165622,48.433047,64.577397,0.000000,0.009739
0.020000,78.246179,211.721883,19.147198,49.724595,64.577397,-0.000000,0.011273
0.020000,79.253513,211.734078,20.154605,51.016143,64.577397,0.000000,0.012956
0.020000,80.286651,211.748405,21.187844,52.307691,64.577397,-0.000000,0.014795
0.020000,81.345589,211.765124,22.246913,53.599239,64.577397,0.000000,0.016800
0.020000,82.430315,211.784519,23.331813,54.890787,64.577397,0.000000,0.018978
0.020000,83.540821,211.806896,24.442545,56.182335,64.577397,0.000000,0.021339
0.020000,84.677092,211.832585,25.579107,57.473883,64.577397,-0.000000,0.023893
0.020000,85.839114,211.861942,26.741500,58.765431,64.577397,0.000000,0.026648
0.020000,87.026868,211.895349,27.929724,60.056979,64.577397,-0.000000,0.029615
0.020000,88.240332,211.933216,29.143779,61.348527,64.577397,0.000000,0.032802
0.020000,89.479480,211.975981,30.383665,62.640075,64.577397,0.000000,0.036221
0.020000,90.744281,212.024113,31.649382,63.931623,64.577397,-0.000000,0.039881
0.020000,92.034698,212.078111,32.940930,65.223171,64.577397,0.000000,0.043792
0.020000,93.350691,212.138510,34.258309,66.514718,64.577397,0.000000,0.047966
0.020000,94.692210,212.205873,35.601519,67.806266,64.577397,-0.000000,0.052411
0.020000,96.059197,212.280803,36.970560,69.097814,64.577397,0.000000,0.057140
0.020000,97.451588,212.363936,38.365431,70.389362,64.577397,-0.000000,0.062163
0.020000,98.869306,212.455945,39.786134,71.680910,64.577397,0.000000,0.067490
0.020000,100.312266,212.557542,41.232668,72.972458,64.577397,0.000000,0.073132
0.020000,101.780367,212.669476,42.705032,74.264006,64.577397,-0.000000,0.079100
0.020000,103.273498,212.792538,44.203228,75.555554,64.577397,0.000000,0.085405
0.020000,104.718685,212.921811,45.727254,76.847102,64.577397,0.000000,0.094442
0.020000,106.260678,213.077639,47.277112,78.138650,64.577397,-0.000000,0.106913
0.020000,107.826296,213.255412,48.852800,79.430198,64.577397,0.000000,0.119138
0.020000,109.415280,213.455321,50.454320,80.721746,64.577397,0.000000,0.131083
0.020000,111.027386,213.677476,52.081670,82.013294,64.577397,0.000000,0.142714
0.020000,112.662389,213.921908,53.734852,83.304842,64.577397,-0.000000,0.153997
0.020000,114.320082,214.188567,55.413864,84.596389,64.577397,0.000000,0.164898
0.020000,116.000287,214.477314,57.118707,85.887937,64.577397,-0.000000,0.175384
0.020000,117.702852,214.787927,58.849381,87.179485,64.577397,0.000000,0.185421
0.020000,119.427657,215.120092,60.605887,88.471033,64.577397,0.000000,0.194977
0.020000,121.174617,215.473407,62.388223,89.762581,64.577397,-0.000000,0.204020
0.020000,122.943683,215.847376,64.196390,91.054129,64.577397,0.000000,0.212519
0.020000,124.734847,216.241409,66.030388,92.345677,64.577397,0.000000,0.220441
0.020000,126.548142,216.654823,67.890217,93.637225,64.577397,-0.000000,0.227756
0.020000,128.383644,217.086832,69.775877,94.928773,64.577397,0.000000,0.234432
0.020000,130.241475,217.536555,71.687368,96.220321,64.577397,0.000000,0.240440
0.020000,132.121803,218.003005,73.624690,97.511869,64.577397,0.000000,0.245749
0.020000,134.024841,218.485092,75.587843,98.803417,64.577397,-0.000000,0.250328
0.020000,135.950851,218.981616,77.576826,100.094965,64.577397,0.000000,0.254146
0.020000,137.900142,219.491266,79.591641,101.386513,64.577397,0.000000,0.257172
0.020000,139.873066,220.012613,81.632287,102.678060,64.577397,-0.000000,0.259375
0.020000,141.870023,220.544108,83.698764,103.969608,64.577397,0.000000,0.260722
0.020000,143.891455,221.084076,85.791071,105.261156,64.577397,-0.000000,0.261181
0.020000,145.937843,221.630710,87.909210,106.552704,64.577397,0.000000,0.260717
0.020000,148.009705,222.182064,90.053179,107.844252,64.577397,0.000000,0.259298
0.020000,150.107593,222.736049,92.222980,109.135800,64.577397,-0.000000,0.256887
0.020000,152.232084,223.290422,94.418611,110.427348,64.577397,0.000000,0.253449
0.020000,154.383777,223.842782,96.640074,111.718896,64.577397,0.000000,0.248947
0.020000,156.563284,224.390564,98.887367,113.010444,64.577397,0.000000,0.243342
0.020000,158.771219,224.931024,101.160492,114.301992,64.577397,-0.000000,0.236599
0.020000,161.008190,225.461243,103.459447,115.593540,64.577397,0.000000,0.228678
0.020000,163.274782,225.978113,105.784233,116.885088,64.577397,0.000000,0.219542
0.020000,165.571547,226.478334,108.134851,118.176636,64.577397,-0.000000,0.209155
0.020000,167.898984,226.958413,110.511299,119.468184,64.577397,0.000000,0.197482
0.020000,170.257522,227.414664,112.913578,120.759732,64.577397,-0.000000,0.184491
0.020000,172.647494,227.843207,115.341688,122.051279,64.577397,0.000000,0.170154
0.020000,174.998627,228.229155,117.795629,123.342827,64.577397,0.000000,0.157524
0.020000,177.441052,228.657317,120.275401,124.634375,64.577397,-0.000000,0.188868
0.020000,179.887224,229.160633,122.772894,125.114918,24.027121,-2027.513762,0.216291
0.020000,182.316655,229.725041,125.267082,124.303912,-40.550275,-3228.869827,0.239576
0.020000,184.713226,230.335610,127.740245,123.012364,-64.577397,-1201.356065,0.258695
0.020000,187.074100,230.980278,130.187577,121.720816,-64.577397,0.000000,0.273811
0.020000,189.401441,231.648925,132.609078,120.429268,-64.577397,-0.000000,0.285123
0.020000,191.697579,232.332265,135.004748,119.137721,-64.577397,0.000000,0.292816
0.020000,193.964899,233.021750,137.374587,117.846173,-64.577397,0.000000,0.297049
0.020000,196.205751,233.709469,139.718594,116.554625,-64.577397,-0.000000,0.297961
0.020000,198.422383,234.388062,142.036772,115.263077,-64.577397,0.000000,0.295663
0.020000,200.616886,235.050628,144.329118,113.971529,-64.577397,0.000000,0.290250
0.020000,202.791149,235.690659,146.595633,112.679981,-64.577397,0.000000,0.281794
0.020000,204.946817,236.301978,148.836317,111.388433,-64.577397,-0.000000,0.270354
0.020000,207.085248,236.878695,151.051170,110.096885,-64.577397,0.000000,0.255981
0.020000,209.207482,237.415183,153.240192,108.805337,-64.577397,0.000000,0.238720
0.020000,211.314203,237.906067,155.403383,107.513789,-64.577397,-0.000000,0.218619
0.020000,213.405701,238.346235,157.540744,106.222241,-64.577397,0.000000,0.195734
0.020000,215.481844,238.730863,159.652273,104.930693,-64.577397,0.000000,0.170139
0.020000,217.542057,239.055475,161.737971,103.639145,-64.577397,-0.000000,0.141932
0.020000,219.585301,239.316000,163.797839,102.347597,-64.577397,0.000000,0.111246
0.020000,221.610080,239.508865,165.831875,101.056049,-64.577397,-0.000000,0.078247
0.020000,223.614459,239.631085,167.840081,99.764502,-64.577397,0.000000,0.043150
0.020000,225.596107,239.680365,169.822455,98.472954,-64.577397,0.000000,0.006212
0.020000,227.552367,239.655186,171.778999,97.181406,-64.577397,0.000000,6.250918
0.020000,229.480346,239.554881,173.709712,95.889858,-64.577397,-0.000000,6.211235
0.020000,231.377021,239.379682,175.614593,94.598310,-64.577397,0.000000,6.170715
0.020000,233.239373,239.130724,177.493644,93.306762,-64.577397,0.000000,6.129734
0.020000,235.064500,238.810014,179.346864,92.015214,-64.577397,-0.000000,6.088672
0.020000,236.849728,238.420362,181.174253,90.723666,-64.577397,0.000000,6.047890
0.020000,238.592734,237.965266,182.975810,89.432118,-64.577397,0.000000,6.007719
0.020000,240.291572,237.448790,184.751537,88.140570,-64.577397,-0.000000,5.968452
